iteration,convergenceIndicator,phase,Base_pop,EC50_pop,Emax_pop,gamma_pop,omega_Base,omega_EC50,omega_Emax,omega_gamma,a,b
110,12755.7,1,55.563,472.721,0.888031,2.73971,0.513007,0.538938,0.0998844,0.65527,0.814492,0.213586
111,12765.9,1,55.885,467.126,0.882762,2.61658,0.501656,0.542197,0.101318,0.638678,0.728732,0.216972
112,12713.3,1,55.2274,480.387,0.881091,2.61899,0.516378,0.544555,0.0997858,0.622506,0.85139,0.20996
113,12684.1,1,55.769,500.771,0.87842,2.57797,0.510683,0.537666,0.0976157,0.606744,0.872031,0.208722
114,12695.7,1,55.0003,513.548,0.881385,2.56477,0.517778,0.568529,0.095144,0.593614,1.05953,0.200495
115,12633.5,1,54.2334,515.84,0.882614,2.69363,0.524518,0.592826,0.0927349,0.578583,1.06159,0.199964
116,12606,1,54.4146,509.658,0.891727,2.65344,0.522287,0.583997,0.0903868,0.572907,0.878684,0.206791
117,12543.1,1,54.9832,520.715,0.888127,2.66676,0.522121,0.56921,0.0880981,0.5584,0.798613,0.208012
118,12588.8,1,54.1359,546.365,0.892998,2.6776,0.5089,0.579998,0.0858675,0.545482,0.755943,0.215401
119,12571.7,1,54.4945,542.911,0.900198,2.66694,0.496014,0.594985,0.0855698,0.54496,0.803914,0.21075
120,12593.7,1,55.0326,543.601,0.897355,2.61393,0.510068,0.57992,0.084641,0.548491,0.733421,0.213973
121,12597.9,1,55.0391,527.701,0.888391,2.65472,0.497153,0.565236,0.0879079,0.538969,0.90894,0.210508
122,12601.2,1,55.0592,518.978,0.893981,2.72078,0.508748,0.550924,0.0869522,0.525322,1.04964,0.204555
123,12562.3,1,55.676,534.916,0.897872,2.85809,0.502368,0.536974,0.0884197,0.530678,0.978328,0.203659
124,12494.8,1,55.413,520.616,0.88635,2.77563,0.489648,0.528777,0.0890712,0.525799,1.06981,0.198878
125,12478.9,1,55.402,507.915,0.887292,2.76741,0.499652,0.522046,0.0868159,0.521792,1.08146,0.196934
126,12497.7,1,55.0984,534.346,0.884152,2.73005,0.499916,0.52183,0.0846176,0.512575,0.976974,0.205216
127,12436.3,1,55.5612,519.197,0.887614,2.63224,0.50194,0.527386,0.0824751,0.512152,0.986354,0.201762
128,12428.7,1,55.4727,523.853,0.886028,2.63096,0.499587,0.522045,0.0810716,0.499184,0.975782,0.202985
129,12497.4,1,55.1661,518.883,0.885074,2.76776,0.49596,0.508826,0.0790189,0.486545,1.13756,0.202554
130,12446.4,1,55.0946,513.238,0.885692,2.80789,0.492004,0.500458,0.0800967,0.480583,1.22217,0.197548
131,12496,1,54.9024,521.188,0.884326,2.77381,0.490725,0.542477,0.0821955,0.468415,1.15687,0.199438
132,12569.2,1,55.1049,523.903,0.881099,2.81957,0.501265,0.549357,0.0824608,0.463383,1.21175,0.198264
133,12437.5,1,55.5746,543.031,0.884098,2.89762,0.493328,0.535447,0.0803729,0.45165,0.95313,0.204252
134,12436.9,1,55.011,537.991,0.885768,2.89775,0.49241,0.531239,0.0789226,0.440214,1.06372,0.205148
135,12456.6,1,54.3744,521.235,0.878117,3.03689,0.492582,0.563742,0.0769242,0.467102,1.13673,0.201639
136,12476.2,1,54.9349,533.613,0.875513,3.00197,0.486956,0.587832,0.0798429,0.462161,1.06295,0.201575
137,12484,1,55.7957,512.469,0.875272,3.08545,0.494042,0.572948,0.0803761,0.469231,1.03502,0.20045
138,12579.8,1,55.5784,505.653,0.880599,2.96086,0.493999,0.587263,0.0783409,0.462608,1.29616,0.196823
139,12574.5,1,55.2302,493.705,0.879011,2.86497,0.501449,0.59527,0.0832288,0.468057,1.24986,0.194504
140,12537.7,1,54.8303,501.847,0.875895,2.86435,0.488752,0.591702,0.0811214,0.456205,1.1667,0.202689
141,12479.5,1,55.5665,496.08,0.881442,2.92234,0.476377,0.57672,0.0790674,0.464464,1.21253,0.19802
142,12500.8,1,55.2157,498.959,0.880921,2.82491,0.4768,0.584186,0.0774058,0.452704,1.13135,0.202665
143,12484.8,1,55.541,489.491,0.878448,2.89706,0.472616,0.59274,0.0754459,0.441241,1.05489,0.206648
144,12510.1,1,55.3672,497.694,0.874689,2.89747,0.492009,0.577732,0.0785036,0.434723,0.826837,0.215484
145,12453.2,1,54.9205,500.227,0.871087,2.92111,0.502698,0.563103,0.0765158,0.448217,0.863811,0.211462
146,12423.6,1,55.0561,517.34,0.879632,2.92448,0.511468,0.548845,0.0796347,0.436868,0.901138,0.206236
147,12379.9,1,54.8765,530.791,0.882577,2.91622,0.508579,0.54425,0.0780457,0.425807,0.834251,0.208866
148,12504.9,1,55.1208,514.921,0.884338,2.91114,0.510846,0.555473,0.0824898,0.463043,0.824521,0.211636
149,12485.2,1,54.79,517.033,0.875254,2.96799,0.517714,0.548195,0.0811712,0.451621,0.736009,0.215538
150,12402.4,1,55.3065,503.829,0.877717,2.89505,0.522805,0.534314,0.0791159,0.440185,0.802772,0.209227
151,12456.8,1,55.5953,509.868,0.875131,2.90657,0.531476,0.564437,0.0771871,0.44052,0.886118,0.205631
152,12420.3,1,55.2008,514.877,0.874608,2.95925,0.528366,0.570895,0.0793436,0.439188,0.884882,0.203385
153,12416.2,1,54.4723,523.57,0.87767,3.08178,0.522807,0.582309,0.0773346,0.428067,0.694789,0.215094
